,class,samples
5530,walking,"[-14.255076999999998 -3.3882741 5.468357 2.9795829999999994 -3.3662475
 4.183233915341481 1.0778648646780722 -24.47353 -10.101934933333332
 5.324705000000002 6.245275249999999 -9.816226499999999 5.598374886987151
 1.1351251191316258 -14.355634 -1.9365898333333331 9.404425
 6.132748000000001 -1.0630255 5.0994127700637915 0.6356307907353669]"
314,running,"[-6.124367 5.623501033333333 23.060951 9.8114385 3.98874 7.76530744857809
 -0.4998924541003391 -12.89517 6.221253433333334 27.686548 11.34731925
 5.935226 10.57216245446564 -0.5330824433385795 -10.151415
 2.6966693000000004 19.661184 8.04092625 3.021483 6.378207556984769
 0.07094735947366049]"
476,running,"[-6.311115 5.7610878 24.554934 8.37491775 3.3686420000000004
 8.657076560407173 -0.3404695931663415 -16.630125 9.552864766666668
 32.182858 15.788563250000001 10.115502 13.443502289868192
 -0.8188647638562387 -12.808979 -0.4494713333333332 6.56969
 8.222885999999999 0.1388635 5.190082384302412 -0.7579618746968015]"
3858,idle,"[-0.459687 0.24165470000000006 2.035071 0.48123425 0.047883999999999996
 0.6667499533813332 0.9513027432996446 3.8403 4.8536855999999995
 7.580042999999999 1.1731587500000025 4.355053 0.966170941027677
 0.33524534256151295 3.423709 8.092401800000001 9.892841
 1.2844892500000018 8.626309 1.3336666568607864 3.7780390159585178]"
1708,running,"[-6.5792660000000005 7.256506233333331 34.442986 10.745177
 6.256049000000001 9.048624751277705 1.467620839729899 -15.638926
 6.751968033333333 27.451916 18.39106 8.008605 11.38817244835409
 -0.7165008841720368 -5.880159 0.9460289999999999 11.741165
 5.7891794999999995 -0.031125 4.308374892849105 -0.16629941170827367]"
5082,walking,"[-15.519216 -4.228638999999999 2.13084 4.48912775 -3.3925840000000003
 3.9965550833763985 0.8786092901692402 -21.255722 -8.703721199999999
 7.9008660000000015 6.786365249999999 -8.918401 6.246409961102709
 1.1745594689586971 -15.006856 -1.1996545333333333 11.219229 4.8578355
 -1.1348515 5.148870027799646 1.1286716071535334]"
619,running,"[-27.207708 -4.070462099999999 10.357317 11.9171385 -1.8579005
 8.770800572895833 0.18186489148966967 -10.500969 8.121291999999999
 22.203827 9.900023999999998 8.087613000000001 9.041321511252043
 -0.64643753756115 -17.673998 -0.5137955333333335 13.790602
 6.047753250000001 -0.42856200000000005 6.6051035255237585
 0.3932126358473478]"
3743,idle,"[-1.297657 -0.4560156333333334 1.690306 1.2641387499999999
 -0.6081270000000001 0.6923471038710513 0.8175085363565233 -1.221043
 1.7017986999999999 4.367024 1.567005 2.221819 1.275288741619851
 -0.4223885866557229 5.66947 9.300835166666666 10.352529
 0.7242459999999991 9.3517525 0.835069208547814 9.289092674584843]"
636,running,"[-6.291962 7.323543833333334 29.549238 13.80376925 7.699753
 9.251901213263373 -0.2874660977515555 -13.833697 8.813854466666667
 34.261024 15.574280999999997 8.329427499999998 12.952030019953202
 -0.6894697583854197 -36.67438 0.25649900000000014 24.641125 6.71094725
 -1.0007765 10.28466976334471 4.115832539712934]"
6042,walking,"[-25.665842 -7.048848933333335 0.464475 7.82784325 -5.3606175
 6.388953714139982 0.7504041110585162 -22.85505 -10.893298600000001
 0.349553 6.478710250000001 -11.657368 5.382992539132841
 -0.1278231602314901 -25.838224 -3.7762944333333337 12.77546
 8.576030999999999 -1.510741 7.98319761645621 0.6261558783846639]"
89,running,"[-7.1059899999999985 8.513940799999999 33.686417 13.851653500000001
 7.0940195 11.188664657727937 -0.18847998503854013 -17.233463
 9.648154433333335 39.10689 30.60508 9.552865 16.519468304044306
 -1.1453965565304671 -7.460332000000001 2.1388204 19.067423 7.10000575
 2.006341 6.2074732017389955 0.09136746499888737]"
150,running,"[-26.489449 -1.7089811 10.002975 7.28316125 0.32082299999999997
 8.305944927569158 1.3485743037791655 -10.323798 9.7319509 36.46369
 11.20127175 9.689333999999999 12.951670498291012 -0.6513566256921894
 -10.812215 0.43526600000000015 10.620679 7.49864025 1.5753849999999998
 4.969331554795608 -0.5706863335707872]"
1767,running,"[-27.068844 -4.145639900000001 5.334282 9.13866775 -2.4420855
 7.7800721233609496 1.414926982530126 -13.057976 10.145349966666666
 33.791763 11.9303065 9.4977985 12.402256959972384 -0.6717766195950676
 -15.380351999999998 -2.4995463999999994 8.039729 7.596801500000001
 -2.7772734999999997 5.442293461305981 0.03620360972253733]"
5706,walking,"[-14.839262 -3.952986566666667 10.457873 5.0649335 -3.5458125000000003
 4.778087172246113 1.4519568124300326 -16.587029 -9.201076733333334
 13.895947 5.908889749999999 -10.58716 5.870472265664628 5.458460399775163
 -20.84871 -2.8698498 27.241226 6.139930499999999 -1.3215995
 8.369376614555955 4.194506026927983]"
971,running,"[-5.4396260000000005 8.644664433333334 27.65303 16.82764675 5.825093
 9.907365284496532 -1.0649870465955988 -15.902287 5.632918200000001
 27.064056 13.32493025 6.303933000000001 11.00322843217732
 -0.6458929849969612 -10.160992 3.3459767333333343 20.738573 12.34689875
 0.35194749999999997 8.21062291101074 -0.5917638197237873]"
683,running,"[-20.029892 -4.886405966666668 4.668694 7.9607205 -4.5178585
 5.982524089211907 -0.24798782154040033 -4.783615 6.7746331999999985
 22.486341 13.235147 7.034165000000001 8.276093270204468
 -1.007827911162611 -8.614338 0.2946466 11.075577 5.614403 0.1699885
 4.686815849325713 0.005886090026280044]"
4435,idle,"[-0.512359 0.39073376666666665 2.456451 0.3794807499999999 0.1699885
 0.7683467274799698 2.2672828027708594 5.329493 6.458439066666667
 7.431602000000002 0.49559974999999934 6.394913000000001
 0.4959495320014552 -0.21225493288335784 5.176265 7.273744633333334
 8.681376 0.8523365000000016 7.319074499999999 0.7788122531974564
 0.4649771729950509]"
2082,running,"[-6.660669 7.233362266666668 29.611486 12.753913 6.3757595
 9.821776909952668 -0.2999820073904318 -11.051635 9.071470733333333
 27.05448 11.94586925 9.476250499999999 10.456126817074308
 -0.7780686844707869 -11.583148 2.267309099999999 26.18299 8.92438725
 0.9816225000000001 8.118280472446228 0.908009225904093]"
3137,running,"[-26.489449 -2.5720109666666664 6.742072 9.520542750000002 -0.691924
 7.752188109385816 1.5299099619664434 -10.213664 9.4851885 36.46369
 12.63061025 9.6246905 12.233486058979587 -0.5612710752015801 -13.967772
 -1.4638147666666665 12.47858 8.3904795 -1.6112975 5.850227215846662
 -0.27770616740699516]"
229,running,"[-6.8857240000000015 5.141308699999999 28.079197 13.119028500000002
 3.4380735000000002 9.082949343470306 -0.4950256138927851 -14.532804
 7.700869933333334 39.188293 21.09171975 5.518635 15.206096923292257
 -0.5802046172669693 -9.270349 -0.1160389666666668 15.998055
 9.045293749999999 0.20350700000000005 6.839187487169975
 -0.4912112488914957]"
773,running,"[-2.896984 9.219113133333334 32.953793 13.29739625 6.646304000000001
 10.052416675781927 -0.057554880506133 -14.154520000000002
 9.458852666666667 26.953922 18.225860750000002 9.3924535
 11.561162821435971 -0.906014559962196 -4.7453080000000005
 2.245122766666667 19.292477 7.6470805 -0.14125800000000002
 5.981552607039869 0.4211293611094109]"
4307,idle,"[-0.90022 0.10518519999999999 0.679953 0.3184285 0.1819595
 0.30718640163364436 1.998889210257996 5.200207 6.223647733333334
 7.077260000000001 0.66917925 6.335058 0.4856817579220599
 -0.5325813568458027 6.023812 7.542374033333332 9.792285
 0.8559264999999989 7.433996499999999 0.7090455984156676
 1.6734717819318758]"
5483,walking,"[-11.420342 -4.177562633333334 1.355118 5.06732775 -3.9264905
 3.408222767144527 -0.6279392992906896 -17.089810999999994 -9.4074568
 5.6982 4.991911499999999 -10.261548999999999 4.513575319756607
 2.084208918960025 -13.244724 -1.7654842666666661 6.402096 6.574478
 -1.2761095 4.629508887947618 -0.1610168944955821]"
6079,walking,"[-9.323022 -1.9509551333333335 5.042189 3.4093427500000004 -2.432509
 3.3544881015458254 -0.25011085996791316 -22.471977 -10.8803697
 1.7525560000000002 5.9460010000000025 -10.6589855 5.531169924597424
 -0.3376639605360565 -16.31409 -0.9608728666666668 18.86152
 2.9173342500000006 -0.797269 6.90989443710315 2.3378129859150887]"
1112,running,"[-8.350976 4.357128 22.697033 7.76439675 3.6679174999999993
 7.907529689202143 -0.10896604321695635 -28.3665 6.957709766666666
 28.232426 16.0148155 6.7013705 12.942027882213377 0.2227951756280624
 -12.378023 1.3000516333333327 23.118412 8.98064975 -0.6727704999999999
 7.694577300418477 0.6254931542172177]"
2753,running,"[-9.232041 2.578076566666667 23.319525 7.255628 2.276886
 6.8995072839345255 0.9933244139544959 -7.872135000000001 9.0240655
 28.060043 15.978901749999995 7.790732499999999 9.960307259835085
 -0.850179398138474 -5.272032 3.9352694999999995 19.306843 8.79988825
 1.4987705 6.5971681930407575 -0.39164622020853423]"
667,running,"[-5.334281 5.223829033333334 28.64423 10.41118625 4.568137500000001
 7.701918878536527 1.522521356425722 -11.990162 9.0527958 28.926744
 14.429852499999999 8.9950155 11.511145635304327 -0.8325504990284638
 -4.91769 1.5346833666666662 12.617443 7.139509749999999 0.2633625
 4.7234184120513785 -0.7024838948211776]"
309,running,"[-6.224924 7.879158266666667 36.16681 10.651803249999999 4.010288
 11.596680661174279 0.17908633019917808 -13.88637 7.164409166666667
 34.538754 17.488447 7.218518499999999 13.678657919755912
 -0.6914541170632544 -18.847157 -0.31268260000000014 10.812215
 8.647856749999999 -0.366313 6.92277296444989 0.9887751926407584]"
3061,running,"[-8.073248 6.5829376 20.87744 14.08149725 6.373365 8.59460612850096
 -1.0490158852006446 -20.920534 8.689515766666664 37.94331 25.152286
 9.421183500000001 16.63879081513566 -0.938860161227276 -15.519216
 0.7741253 16.582241 7.6063795 0.521936 6.56511829705069
 0.4015447554126168]"
2782,running,"[-9.294291 5.410576699999998 30.248344 9.453505749999998 4.1539405
 8.266265401971172 1.1142331128220535 -14.623784 6.7858062666666665
 28.778305 18.4856315 7.280768 11.573808209863286 -0.9734357309164228
 -8.939949 2.3255678666666664 16.668432 12.8592565 1.601721
 7.747413906755612 -1.1576159577997327]"
1968,running,"[-6.895301 8.480900833333335 38.33117 15.59104175 5.7125655
 11.513627349694312 0.528234183619023 -13.369223000000002
 8.682652299999999 30.976183 22.100875000000002 6.6941885
 13.286294993151802 -1.1387483668811194 -11.18571 2.442564666666667
 29.8126 8.717288750000002 0.9600744999999999 8.818612365592678
 1.6231660351553154]"
4622,walking,"[-6.38773 0.7714119000000002 14.714764 5.781997500000001 -0.344765
 4.687777626665393 0.735527267596467 -30.085539 -8.463183833333334
 11.176133 9.81143875 -8.659828000000001 8.52314575302544
 0.447343024726921 -10.625467 0.47612689999999996 20.398598 8.00022525
 0.8092405 6.7584839459345085 0.9111191720896197]"
2665,running,"[-8.312667999999999 6.612944766666667 39.188293 10.4722385 4.2281605
 9.93999719364844 2.1223246396578554 -16.960526 6.367618766666667
 26.192566 19.8491285 6.658275 11.44815599988394 -0.8723840744503346
 -14.264654 1.6955737333333332 25.34023 5.306748750000001 0.512359
 7.405521907782029 2.084009488399011]"
6309,stairs,"[-3.787627 0.8584013000000001 8.39886 4.3095625 1.2354085
 2.8042819323779384 -0.11013287257954563 -22.720974 -10.052454766666667
 -2.715025 4.11802725 -10.1107135 4.414008511450929 0.9732400139701776
 -10.491392 -1.8828000666666669 6.775591 4.38138925 -2.3104044999999998
 4.4235050652737655 -0.18358032220880993]"
2523,running,"[-8.963891 6.555962733333334 39.188293 11.01213075 4.8722005
 10.650238897269315 1.1505647513390471 -12.617443 10.040484066666668
 37.88585 22.6228125 8.420407500000001 14.260211659496308
 -1.077246869357208 -5.21936 3.361299566666667 25.124752 8.58081875
 0.371101 7.266992430505028 1.0216637818737215]"
5346,walking,"[-14.839262 -4.319937866666668 2.063802 4.727351 -3.3303345
 4.497762944486897 -0.19496524418623862 -21.739351 -10.7335254 -1.929727
 5.2157687500000005 -11.3868235 4.801198974508969 -0.2033821043078463
 -20.84871 -3.126188966666667 3.835511 4.112041250000001 -1.47004
 5.427129692260071 2.048084667786501]"
2197,running,"[-5.81791 5.973214133333332 31.708805 13.437457250000001 4.4723685
 9.608256430901179 0.7664061384559084 -13.876793 8.562942533333334
 31.565157 10.937909749999998 7.371747500000001 11.008530259886195
 -0.43117976692442994 -7.8434050000000015 2.607445233333333 19.560625
 7.4735005 1.608904 6.4881438415606745 0.41172420247108876]"
2046,running,"[-6.402095 3.0398382 12.919112 5.02064125 3.3351235 4.475979683455406
 -0.12707296965158532 -4.252102 4.237258266666667 16.017210000000002
 5.595249750000001 3.715801000000001 4.740315601201759 0.1461555786651445
 -14.480132 5.992367633333333 18.23424 6.652289499999999 6.466738500000001
 6.926686058392075 0.946251245651442]"
1305,running,"[-4.314351 5.789818233333333 29.702465000000004 9.160215749999999
 4.8602295 8.321962001982593 1.8829178196309613 -14.504074 7.9750859
 26.886885 20.66674925 8.269573 12.070140810428335 -1.0995483930975019
 -7.963114 1.0020533000000003 28.423962 6.60440525 -0.3160345
 6.778249000651271 6.383878292079519]"
484,running,"[-10.793061 5.2511229 38.78128 9.925163000000001 3.641581
 9.839186589908481 2.595511145569401 -11.918336 7.943003733333335
 36.037525 22.908919 5.410895999999999 13.954807316446868
 -0.7787894200380667 -10.630256 3.873179966666667 39.188293
 8.327033250000001 1.556231 9.38343176630647 4.506019603418019]"
1502,running,"[-3.3279400000000003 8.5934285 31.057585 11.429919 6.6008145
 8.804709601148605 0.18055976543405317 -15.682021 7.6604878 25.201366
 18.02953775 8.461109 11.693272821444904 -0.8804822510923995 -6.354211
 2.0580559000000003 17.956512 8.025364 1.041478 5.868810344116612
 -0.1057914371164479]"
6153,walking,"[-11.257536 -2.970725433333334 2.1787240000000003 3.00711675 -2.552219
 3.1308720081647508 0.388665220775946 -18.56464 -10.941501666666666
 -2.379836 4.9476175 -11.3269685 3.9661811467968304 -0.32653130670048336
 -7.924807 0.32529230000000003 25.713726 3.8869862499999996 -0.7924805
 6.38437231950852 6.204886734386488]"
2775,running,"[-6.8857240000000015 8.109959233333333 34.49566 16.456545000000002
 6.394913 10.595732456474996 -0.22129947685295726 -15.935806
 10.993535766666668 39.188293 22.546197749999997 10.362105
 14.840374905029439 -0.7806073156502671 -10.16578 2.3702597333333335
 21.428104 8.5568765 1.292869 7.857845394043116 -0.18464027737300048]"
5529,walking,"[-7.264008 1.0727620666666664 19.206285 5.998673 0.10055650000000001
 5.028809375803673 3.4600267160780085 -29.515718 -11.203108100000001
 8.2169 8.658631 -10.639832 8.163770698267742 0.19632645109524338
 -25.196577 -1.6563086333333346 17.975666 6.09324375 -0.5746085000000001
 8.552210393183163 1.8919606521636059]"
5901,walking,"[-7.359775999999999 1.5511234666666667 11.113884 4.416105000000001
 1.889025 3.9494191510494447 -0.04775688161277136 -25.201366
 -11.146126100000002 0.181959 8.19176125 -10.7475715 5.205216438723719
 0.2904102055519142 -16.903064999999998 0.23303569999999982 32.59945
 2.98916075 0.7685385 7.809926477860453 8.013278914391325]"
3147,running,"[-2.896984 8.387846233333335 35.012802 13.919889 5.0972555
 9.570816603078246 0.26727044505617314 -14.154520000000002
 8.250099966666665 26.953922 21.805193 8.590396 11.676156836713856
 -1.1277359774475515 -4.7453080000000005 2.2502304 13.972561 7.30231525
 0.6655880000000001 5.26739625053905 -0.5251249207135524]"
1752,running,"[-5.932832 7.136796066666666 22.060175 10.84094525 5.1642935
 7.915517167616921 -0.997366792395669 -14.302960999999998
 9.720459066666669 33.748670000000004 12.465410249999998 8.892065
 12.179470299974025 -0.49698378819290445 -4.563348 4.486414833333334
 21.528662 9.070433249999999 2.8754365 6.5897979637066575
 5.6524056055273775e-05]"
5742,walking,"[-11.420342 -4.075409933333334 3.122039 3.7529107500000003 -4.077325
 3.1863121490323985 -0.15134598327373538 -14.207192 -8.918720533333333
 5.6982 4.321535 -10.117896 4.263702297502823 2.436681498975383 -13.244724
 -0.21930876666666682 18.938135 3.5793315000000003 -0.3543415
 5.207284691747531 4.805318504802176]"
3198,running,"[-24.722527 -3.405671966666666 8.643068 9.2595745 -3.5386300000000004
 7.425731236853358 1.4005098461840504 -7.872135000000001 9.7509451
 28.146235 16.0399535 9.176974999999999 10.177356340583652
 -1.0880457383300817 -12.105083 0.4098874333333332 11.908759 6.41646025
 0.2801215 5.208872934594583 -0.018732890402477498]"
3836,idle,"[-2.896984 0.15211163333333336 1.7477669999999998 0.7122747500000001
 -0.02873 0.8076506451909958 4.929132744854503 -1.532289
 2.3321123000000004 6.5457480000000015 5.297171250000001 0.260968
 2.8286208794798475 -1.6165615404651517 2.466028 8.6504105 10.065224
 1.9057839999999997 9.7156705 1.6795958182747766 4.189252867271696]"
1313,running,"[-4.668693 6.278873733333332 25.79034 10.852915999999999 5.4300495
 7.810156302227509 -0.3967464996118353 -10.328587 9.112012600000002
 30.755915 16.0136185 9.993398 11.385569061508162 -0.8776477955633704
 -13.01488 3.184607733333333 24.842237 10.89002625 3.8403
 9.176732785393385 -0.1527236538725707]"
4627,walking,"[-14.748282 -4.773399633333333 2.978387 1.9081789999999996
 -4.3287165000000005 3.055482603021978 2.742464897078908
 -14.800954999999998 -6.835765033333333 9.92636 4.6339774999999985
 -7.771579 4.453360116454036 4.480370457367568 -12.41633 -1.1029288
 15.102624 3.8486795000000003 -0.9720455 4.467229817666159
 4.529755523842897]"
3441,idle,"[0.201113 0.2735774333333333 0.411803 0.02753300000000003 0.2657565
 0.04170284258311682 3.0853505257027205 -0.13886400000000002
 -0.02697466666666667 0.110133 0.034715750000000004 -0.023942
 0.044414150842821354 1.985549506653813 9.715671 9.770737266666664 9.80665
 0.026336500000001095 9.773131 0.021008989348900563 0.49403810121510006]"
