,class,samples
438,running,"[-20.556616 -3.7670369 13.522451 13.291410500000001 -1.999158
 7.970411770700964 -0.6694183197097723 -10.323798 9.5284441 30.454247
 22.483948249999997 9.8353805 13.275828012998623 -1.1880982809718466
 -9.217676 0.4936845333333332 8.169016000000001 7.095217
 -0.14844049999999998 4.448143617765638 -0.4697920155815343]"
6394,stairs,"[-4.67827 0.3583322666666667 8.2169 3.7600935 0.13407500000000003
 2.4830956870981695 1.4325199290000228 -17.927782 -9.451510199999998
 -0.943315 7.02578475 -8.540118 4.299430802751138 -0.8918045083193786
 -8.920795 -2.5868550333333333 9.706094 3.44286125 -3.110068
 3.475617994738715 3.2183696884337545]"
716,running,"[-14.709975 0.2919330000000005 20.135237 9.455899 0.22266050000000004
 8.101460748431109 -0.20098825921059493 -11.03727 8.529582999999999
 30.904356 14.901510749999996 8.133103000000002 10.916696589581024
 -0.5896962843768123 -13.196839 -0.6408478666666668 13.790602
 4.899733250000001 -1.496376 5.577331459351708 0.5756992788099753]"
870,running,"[-9.998186 4.278438666666667 20.772095 8.78193225 3.473987
 6.978109361142928 -0.27876502573295525 -10.606314 6.978299966666667
 32.043995 19.882648250000003 5.518635 12.216447885558361
 -0.9144754767910439 -7.891288999999999 2.8928342999999996 19.76653
 5.809531 1.6711529999999999 6.497084623327708 0.33435508226898136]"
3364,running,"[-21.997925 -0.4170698666666669 16.017210000000002 5.805938750000001
 0.8834605 8.146814548094254 0.7560604437445773 -9.672575
 6.4574812333333345 26.848577 15.00087025 6.1530985000000005
 10.169796384039957 -0.7764248636969668 -12.670115 0.4157931333333334
 7.714117999999999 6.89530075 1.3766660000000002 5.050972595038871
 -0.173956313847611]"
4968,walking,"[-14.197616 -3.6881877666666667 1.278504 2.18351175 -2.4061725000000003
 3.897682215371888 1.256276137755246 -18.195932 -9.203311266666667
 2.121263 5.621585499999998 -10.718841000000001 5.295395270924453
 -0.411455161699128 -20.077776 -1.805228 16.610971 4.50708525 -0.572214
 6.317555973788883 2.542107159920689]"
6402,stairs,"[-6.320692 2.483266166666666 12.133814 6.9659302499999995
 1.3599065000000001 4.165332492706971 -0.47174805542375253 -19.416977
 -9.897789300000003 -0.483629 6.652289750000001 -8.3150625
 5.043161070418818 -0.6834476538421339 -14.422671 -1.4197615000000001
 10.582372 4.05936925 -0.80924 4.82579352685092 1.2040322296991715]"
2995,running,"[-4.788403 6.329311700000002 23.894133 11.798625999999999
 5.0709195000000005 8.454949976919524 -0.6614259173232906 -9.734824
 9.444327600000001 30.722397 19.15840225 8.640673999999999
 11.683053982818032 -1.0501982283972229 -7.283161 1.5305336000000005
 11.793838 7.605181750000001 0.9193735000000001 5.211074934978102
 -0.8048298410631864]"
1130,running,"[-7.8865 3.9378234333333335 18.904617 7.912837499999999 2.8155815
 6.501692807760415 -0.4579902887067018 -10.740389 8.6775448 28.87886
 14.823699750000001 8.482656500000001 10.362195525590968
 -0.7975816363980055 -9.318233 0.5310340333333337 15.619772 5.288791
 -0.014364999999999996 5.160493091158069 1.4274762867212942]"
107,running,"[-5.760449 9.1788904 37.96725 15.543157249999998 7.4866685
 11.76598981652802 -0.061624347188855566 -17.233463 9.945833366666667
 39.188293 29.352912500000002 9.552865 16.116697286530936
 -1.0941032437843172 -4.654328 2.749660966666667 19.067423
 7.7751702499999995 1.041478 6.15656782614344 0.09781468018187489]"
6028,walking,"[-15.102624 -2.6230873333333333 3.993528 3.04303025 -1.63524
 4.426965954098129 0.7395423775572914 -27.284323 -10.248619666666665
 8.777142999999999 8.762778749999999 -9.5768065 7.368051822757665
 0.18192260455113907 -22.67788 -1.3950214333333335 7.498639999999999
 5.276821 -0.9385269999999999 5.2827918790170445 6.3149286876015704]"
5118,walking,"[-17.348385 -3.5941754 3.2896330000000003 5.33547825 -2.2074540000000002
 4.654742028431935 1.448326988758982 -22.869415 -9.088708766666665
 11.439496 6.393716499999998 -10.3333745 6.723652115504527
 1.953450383032096 -19.531897 -1.634441533333333 11.674128 4.50828175
 -0.878672 5.758737559337595 2.378627095201539]"
2400,running,"[-8.75799 4.686250966666667 28.692114 10.887631999999998
 5.6455280000000005 8.953330409973686 -0.08704784241090957 -19.484013
 6.5781492 33.466152 14.906299750000002 5.78918 12.567244009504096
 -0.26359891179453765 -10.836157 4.165591733333333 39.188293 7.74883475
 1.0486605 11.354842224405827 2.4633624023743046]"
4025,idle,"[-2.628833 0.02537853333333335 1.671153 0.26096825 -0.009577
 0.7748568828679584 3.1074846966898555 4.050989 5.625576166666665 7.364565
 0.3399770000000002 5.434838000000001 0.8042789056765522
 -0.07435382348592157 2.140417 7.633991966666668 9.533711
 0.835576249999999 8.027758500000001 1.314196319622896 7.718476403425619]"
1428,running,"[-5.463568 5.918945533333333 39.188293 8.380903000000002
 3.8594530000000002 10.291018639898047 2.5261744994330915 -12.617443
 8.917603433333333 37.88585 20.7170275 6.617573500000001
 12.769464079704017 -0.654912866412058 -22.026655 0.16679616666666666
 18.918982 9.886855749999999 -1.2306195 8.06794261898912
 0.8039527121243117]"
3405,running,"[-6.651092 7.044060599999999 32.905907 8.517372 4.2999865
 9.771403736759975 0.9449389800987817 -14.020445 5.185202466666667
 31.550790000000006 20.02989125 5.046977 12.476156453439456
 -0.7008350521969913 -8.020575 2.100832333333334 18.962078 7.36097325
 -0.5434835 6.594835089482517 -0.023064232066093204]"
4578,walking,"[-11.247959 -2.8642631666666665 6.378154 3.262099749999999
 -2.2361839999999997 3.3918827086156553 1.0944110485256218 -23.376986
 -10.62004033333333 1.364695 7.188591000000001 -10.6972935
 5.707876141315451 -0.1847317483965818 -19.982008 -1.5972515666666665
 20.944477 2.8850127499999996 -1.6041150000000002 6.219520141050743
 5.561771460868032]"
109,running,"[-4.7788260000000005 6.599058433333332 23.779213 11.322179749999998
 4.446033 7.9916841086866475 -0.6053739962856652 -12.622231
 9.87991283333333 33.451786 18.8770835 8.341399000000001
 13.125296284859813 -0.9091998420833223 -7.445967 0.6796341666666667
 15.26543 5.8035445 -0.39743750000000005 5.244529829388967
 0.9391645171296279]"
2245,running,"[-8.437167 7.243737300000001 39.188293 13.008895249999998 5.121198
 12.508828704519097 0.3387051271990109 -16.783354 10.059797300000001
 39.188293 26.494235500000002 7.929595999999999 15.671455885858547
 -1.088736077326199 -12.411542 0.7428410666666669 15.988479000000002
 7.73566525 -0.438139 7.384071372048327 -0.45290783746632446]"
6323,stairs,"[-6.287173 2.487256533333334 7.771578999999999 4.632780000000001
 2.5474310000000004 3.101073875167179 0.21393543357541 -25.828648
 -11.6967923 -4.065354 7.4220255 -9.902418 5.668350338011236
 -0.4580761814290497 -38.08696 -1.6454548333333328 17.492037
 7.965509000000001 -2.3463175 9.532157447397925 5.145371492980114]"
2458,running,"[-28.337770000000006 -4.812823966666668 4.544194999999998 7.258022
 -3.3686415 8.213091239601281 1.7177105657367822 -9.188946
 7.1077465333333345 29.472624 17.57224375 5.813122 11.21007505479931
 -0.9930058552529184 -12.540829 -0.7085239666666666 9.792285
 3.9420530000000005 -1.0390835 4.437548529587888 0.9115116730321446]"
